市场代码,合约代码,Date,最新,持仓,增仓,成交额,Volume,开仓,平仓,成交类型,方向,买一价,Close,买一量,卖一量
DC,a2403,2024-01-29 10:12:58.192,4650.0000,188563,0,93000.0000,2,1,1,空换,B,4649.0000,4651.0000,23,48
DC,a2403,2024-01-29 10:12:59.311,4649.0000,188573,10,464900.0000,10,10,0,双开,S,4649.0000,4650.0000,31,11
DC,a2403,2024-01-29 10:13:00.383,4649.0000,188574,1,139470.0000,3,2,1,空开,S,4649.0000,4650.0000,20,10
DC,a2403,2024-01-29 10:13:00.738,4649.0000,188580,6,511390.0000,11,8,3,多开,B,4648.0000,4649.0000,124,6
DC,a2403,2024-01-29 10:13:01.397,4648.0000,188583,3,139440.0000,3,3,0,双开,S,4648.0000,4649.0000,110,14
DC,a2403,2024-01-29 10:13:01.742,4648.0000,188593,10,511280.0000,11,10,1,空开,S,4648.0000,4649.0000,101,48
DC,a2403,2024-01-29 10:13:02.725,4648.0000,188600,7,325370.0000,7,7,0,双开,S,4648.0000,4649.0000,76,51
DC,a2403,2024-01-29 10:13:03.392,4649.0000,188601,1,46490.0000,1,1,0,双开,B,4648.0000,4649.0000,72,50
DC,a2403,2024-01-29 10:13:04.837,4648.0000,188602,1,46480.0000,1,1,0,双开,S,4648.0000,4649.0000,71,53
DC,a2403,2024-01-29 10:13:05.222,4649.0000,188602,0,46490.0000,1,0,1,空换,B,4648.0000,4649.0000,71,48
DC,a2403,2024-01-29 10:13:06.271,4648.0000,188604,2,92960.0000,2,2,0,双开,S,4648.0000,4649.0000,69,48
DC,a2403,2024-01-29 10:13:06.800,4649.0000,188624,20,1627100.0000,35,27,8,多开,B,4648.0000,4649.0000,75,18
DC,a2403,2024-01-29 10:13:07.753,4649.0000,188624,0,511390.0000,11,5,6,空换,B,4648.0000,4649.0000,83,6
DC,a2403,2024-01-29 10:13:08.216,4649.0000,188624,0,325420.0000,7,3,4,空换,B,4648.0000,4650.0000,80,30
DC,a2403,2024-01-29 10:13:10.328,4649.0000,188625,1,46490.0000,1,1,0,双开,B,4648.0000,4649.0000,78,3
DC,a2403,2024-01-29 10:13:10.680,4649.0000,188626,1,46490.0000,1,1,0,双开,B,4648.0000,4649.0000,78,2
DC,a2403,2024-01-29 10:13:11.566,4649.0000,188626,0,46490.0000,1,0,1,空换,B,4648.0000,4649.0000,80,2
DC,a2403,2024-01-29 10:13:13.263,4648.0000,188627,1,46480.0000,1,1,0,双开,S,4648.0000,4649.0000,79,2
DC,a2403,2024-01-29 10:13:13.807,4649.0000,188632,5,232420.0000,5,5,0,双开,S,4649.0000,4650.0000,8,40
DC,a2403,2024-01-29 10:13:14.186,4648.0000,188636,4,697290.0000,15,9,6,空开,S,4648.0000,4650.0000,77,40
DC,a2403,2024-01-29 10:13:14.852,4648.0000,188638,2,92960.0000,2,2,0,双开,S,4648.0000,4649.0000,63,14
DC,a2403,2024-01-29 10:13:15.233,4648.0000,188646,8,371840.0000,8,8,0,双开,S,4648.0000,4649.0000,46,23
DC,a2403,2024-01-29 10:13:15.874,4648.0000,188676,30,1394400.0000,30,30,0,双开,S,4648.0000,4649.0000,16,25
DC,a2403,2024-01-29 10:13:16.398,4648.0000,188681,5,790160.0000,17,11,6,多开,B,4647.0000,4648.0000,27,17
DC,a2403,2024-01-29 10:13:17.865,4648.0000,188681,0,92960.0000,2,1,1,空换,B,4647.0000,4648.0000,41,4
DC,a2403,2024-01-29 10:13:18.184,4648.0000,188681,0,185920.0000,4,2,2,多换,S,4648.0000,4649.0000,30,27
DC,a2403,2024-01-29 10:13:18.851,4648.0000,188684,3,232400.0000,5,4,1,空开,S,4648.0000,4649.0000,26,24
DC,a2403,2024-01-29 10:13:19.299,4648.0000,188685,1,46480.0000,1,1,0,双开,S,4648.0000,4649.0000,39,11
DC,a2403,2024-01-29 10:13:20.186,4649.0000,188689,4,185960.0000,4,4,0,双开,B,4648.0000,4650.0000,50,42
DC,a2403,2024-01-29 10:13:21.223,4648.0000,188689,0,46480.0000,1,0,1,多换,S,4648.0000,4649.0000,49,2
